_ - _ - id,_ - _ - active,_ - _ - subtype,_ - _ - place_name,_ - _ - subcategory,_ - _ - place_address,_ - _ - place_type_id,_ - _ - place_latitude,_ - _ - place_longitude,_ - _ - place_type_name
E05553,1,estacion,"E05553 · Estacion de Servicio Puente Tres, S.A. de C.V.",Estación,"Carrt. Nuevo Laredo-Piedras Negras Km 7,700, Col. Union Del Recuerdo",3,27.523303,-99.5645,estacion
E06926,1,estacion,"E06926 · Promotora de Franquicias Vazeli, S.A. de C.V.",Estación,"Av. Pino Suarez # 6322, Col. Buena Vista",3,27.495568,-99.540115,estacion
E10209,1,estacion,"E10209 · Estacion de Multiservicios Edgar, S.A. de C.V.",Estación,"Alvaro Obregon No. 1243, Col. Sector Centro",3,27.488682,-99.511686,estacion
E11474,1,estacion,"E11474 · Super Gas Piedras, S.A. de C.V.",Estación,"Carretera 57 Km. 8, Col. Libramiento Allende - Morelos",3,28.384098,-100.852408,estacion
E03450,1,estacion,"E03450 · Servicio Rio Escondido, S.A. de C.V.",Estación,"Carr.57 Km.18, Col. Centro",3,28.570820,-100.616660,estacion
E06153,1,estacion,"E06153 · Servicio Agar, S. A. de C. V.",Estación,"Lib. Fausto Z. Martinez # 2306, Col. Nueva Americana",3,28.680920,-100.523260,estacion
E04641,1,estacion,"E04641 · Piedras Negras Industrial, Sa",Estación,"Calle Fuente Galeana No. 505 Sur, Col. Centro",3,28.697864,-100.518198,estacion
E10839,1,estacion,"E10839 · Orba Gas, S.A. de C.V.",Estación,"Carretera Federal Numero 2 Tramo P.Negras-Ac 111, Col. Ejido Piedras Negras",3,28.715375,-100.562016,estacion
E08596,1,estacion,"E08596 · Combustibles de Acuña, S.A. de C.V.",Estación,"Agustin Iturbide No. 1890, Col. 28 de Junio",3,29.315240,-100.951140,estacion
E04004,1,estacion,"E04004 · Servicio Excelsior, S.A. de C.V.",Estación,"Carr.A la Presa de la Amistad No.1390 Pte.Esq.Exce, Col. Atilano Barrera",3,29.335069,-100.967862,estacion
E02203,1,estacion,"E02203 · Multiservicios Terashima, S.A. de C.V.",Estación,"Carr. El Sauz-Palau No.69 Minas de Barroteran, Col. Centro",3,27.646890,-101.279710,estacion
E09512,1,estacion,"E09512 · Suministros Energeticos 57,S.A. de C.V.",Estación,"Carretera Federal 57 Km. 108.400, Col. Ejido El Mezquite",3,27.812442,-101.142511,estacion
E04701,1,estacion,"E04701 · Gasolinera Santo Domingo, SA de CV",Estación,"Cuauhtemoc Esq. Con Abasolo No. 911 Pte., Col. Reynera",3,27.861838,-101.118449,estacion
E02209,1,estacion,E02209 · Elia Margarita Cantu Gonzalez,Estación,"Presidente Carranza Sur No. 201, Col. Centro",3,26.985727,-102.067016,estacion
E07427,1,estacion,"E07427 · Auto Servicio Coahuila, S.A. de C.V.",Estación,"Carretera 30 # 1008, Col. Amalia Solorzano",3,27.049556,-101.532982,estacion
E08380,1,estacion,"E08380 · Combustibles y Lubricantes Saldivar, S. de R.L. de C.V.",Estación,"Netzahualcoyotl No. 1328-C, Col. Anahuac",3,26.902477,-101.442307,estacion
E11879,1,estacion,"E11879 · Estacion 23, S.A. de C.V.",Estación,"Blvd. Ejercito Mexicano No. 1306, Col. San Francisco",3,26.927638,-101.430444,estacion
E05060,1,estacion,"E05060 · Gasolinera El Pueblo, SA de CV",Estación,"Calle Cuauhtemoc Esq. Kennedy No. 1214, Col. El Pueblo",3,26.919717,-101.417321,estacion
E09277,1,estacion,"E09277 · Servicio Villa Lopez, S.P.R. de R.I. de C.V.",Estación,"Carretera Lopez Coronado No. 846, Col. Sin Colonia",3,27.001310,-105.041950,estacion
E05246,1,estacion,"E05246 · Abastecedora de Combustibles, SA de CV",Estación,"Carret. Jimenez-Camargo Via las Palmas Km 2, Col. .",3,27.141203,-104.903126,estacion
E10470,1,estacion,"E10470 · Supragas, S.A. de C.V.",Estación,"Centenario No. 1303, Col. Centro",3,27.684604,-105.165437,estacion
E07908,1,estacion,E07908 · Hortencia Marquez Uranga,Estación,"Carrt. Libre Delicias-Las Varas Lote 325-2, Col. S/C",3,28.146060,-105.342320,estacion
E10133,1,estacion,"E10133 · Gasolinera Boquilla, S.A. de C.V.",Estación,"Bulevar Oscar Flores No.12, Col. Constitucion",3,29.55834166666670,-104.412022222222,estacion
E07776,1,estacion,"E07776 · Super'S Rapiditos Bip Bip, S.A. de C.V.",Estación,"Calle Durango No. 2680, Col. Fracc. Horizontes Del Sur 17 Etapa",3,31.607092,-106.384251,estacion
E07226,1,estacion,"E07226 · Super'S Rapiditos Bip Bip, S.A. de C. V.",Estación,"Av. Santiago Blancas No. 250, Col. Horizontes Del Sur",3,31.620921,-106.365803,estacion
E06947,1,estacion,E06947 · Servicio Baja California S.A. de C.V.,Estación,"Puerto de Palos No. 1050, Col. Tierra Nueva",3,31.627906,-106.348895,estacion
E03820,1,estacion,"E03820 · Servicio Chapultepec, S. A. de C. V.",Estación,"Av. Pavo Real Esq. Av. de Los Aztecas, Col. Fracc. Granjas de Chapultepec",3,31.671154,-106.474310,estacion
E06905,1,estacion,"E06905 · Super'S Rapiditos Bip Bip, S.A. de C.V.",Estación,"Carrt. Oscar Flores Sanchez # 2734, Col. Division Del Norte",3,31.706455,-106.446865,estacion
E03986,1,estacion,"E03986 · Auto Pronto, S.A. de C.V.",Estación,"Carr. Panamericana No. 6024 y Calle Nayarit, Col. El Granjero",3,31.664695,-106.426835,estacion
E04070,1,estacion,"E04070 · Servicio Galeana, S.A. de C.V.",Estación,"Av. Manuel J. Clouthier No. 7355, Col. Fraccionamiento Del Real Juarez,",3,31.668964,-106.416421,estacion
E06683,1,estacion,"E06683 · Super'S Rapiditos Bip Bip, S.A. de C.V.",Estación,"Av. Paseo de la Victoria # 8050, Col. Partido Iglesias",3,31.675923,-106.408237,estacion
E09962,1,estacion,"E09962 · Almacenes Distribuidores de la Frontera, S.A. de C.V.",Estación,"Blvd. Manuel Gomez Morin # 9470, Col. Partido Senecu",3,31.695550,-106.389972,estacion
E07486,1,estacion,E07486 · Jorge Luis Peregrino Ocaña,Estación,"Carretera Casas Grandes No. 4251, Col. S/C",3,31.614025,-106.533926,estacion
E09261,1,estacion,"E09261 · Super'S Rapiditos Bip Bip, S. A. de C. V.",Estación,"Carretera Panamericana No. 10325, Col. Fracc. Granjas Polo Gamboa",3,31.605629,-106.455229,estacion
E04417,1,estacion,"E04417 · Servicio Oasis, SA de CV",Estación,"Blvd. Zaragoza Num. 505 y Vias Ff Cc, Col. S/C",3,31.660440,-106.447702,estacion
E07371,1,estacion,"E07371 · Super Servicio Herrera Del Norte, S.A. de C.V.",Estación,"Av. Tecnologico 6251, Col. Aeropuerto",3,31.662850,-106.428367,estacion
E07302,1,estacion,"E07302 · Super'S Rapiditos Bip Bip, S. A. de C.V.",Estación,"Av. las Torres No. 2431, Col. Col. Lote Bravo",3,31.614148,-106.396429,estacion
E08373,1,estacion,"E08373 · Almacenes Distribuidores de la Frontera, S. A. de C. V.",Estación,"Oaxaca No. 850, Col. Salvarcar",3,31.644318,-106.375132,estacion
E06452,1,estacion,"E06452 · Super'S Rapiditos Bip Bip, S.A. de C.V.",Estación,"Blvd. Independencia # 360, Col. Zaragoza",3,31.642798,-106.346573,estacion
E03568,1,estacion,"E03568 · Grupo Tbgas, S.A. de C.V.",Estación,"Carr.Mex-Chihuahua Calle Fco. Marquez, Col. Veteranos",3,28.604832,-105.995880,estacion
